"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Precipitation"
"2025-01-20","10:53 AM","58","43","58","CALM","0","0","30.02","Fair","0.0"
"2025-01-20","11:53 AM","62","38","41","CALM","0","0","30.04","Fair","0.0"
"2025-01-20","12:53 PM","65","41","42","W","9","0","30.05","Fair","0.0"
"2025-01-20","1:53 PM","64","41","43","W","8","0","30.04","Fair","0.0"
"2025-01-20","2:53 PM","65","43","45","W","8","0","30.03","Fair","0.0"
"2025-01-20","3:53 PM","65","43","45","VAR","6","0","30.03","Fair","0.0"
"2025-01-20","4:53 PM","72","37","28","ENE","9","0","30.04","Fair","0.0"
"2025-01-20","5:53 PM","66","32","28","ESE","14","0","30.07","Fair","0.0"
"2025-01-20","6:53 PM","62","28","28","ESE","9","0","30.10","Fair","0.0"
"2025-01-20","7:53 PM","60","26","27","E","7","0","30.14","Fair","0.0"
"2025-01-20","8:53 PM","60","26","27","SSE","8","0","30.17","Fair","0.0"
"2025-01-20","9:53 PM","57","23","27","ESE","3","0","30.19","Fair","0.0"
"2025-01-20","10:53 PM","58","23","26","S","6","0","30.22","Fair","0.0"
"2025-01-20","11:53 PM","57","22","26","CALM","0","0","30.24","Fair","0.0"
"2025-01-21","12:53 AM","56","21","26","CALM","0","0","30.26","Fair","0.0"
"2025-01-21","1:53 AM","52","18","26","WNW","3","0","30.27","Fair","0.0"
"2025-01-21","2:53 AM","46","15","29","CALM","0","0","30.29","Fair","0.0"
"2025-01-21","3:53 AM","45","15","30","E","5","0","30.30","Fair","0.0"
"2025-01-21","4:53 AM","44","15","31","E","5","0","30.30","Fair","0.0"
"2025-01-21","5:53 AM","43","14","31","CALM","0","0","30.29","Fair","0.0"
"2025-01-21","6:53 AM","46","13","26","NNE","5","0","30.29","Fair","0.0"
"2025-01-21","7:53 AM","47","13","25","NE","5","0","30.29","Fair","0.0"
"2025-01-21","8:53 AM","51","18","27","CALM","0","0","30.30","Fair","0.0"
"2025-01-21","9:53 AM","56","23","28","NNW","7","0","30.30","Fair","0.0"
"2025-01-21","10:53 AM","62","28","28","NW","8","0","30.30","Fair","0.0"
"2025-01-21","11:53 AM","65","32","29","CALM","0","0","30.29","Fair","0.0"
"2025-01-21","12:53 PM","67","32","27","VAR","5","0","30.25","Fair","0.0"
"2025-01-21","1:53 PM","69","34","27","WSW","5","0","30.23","Fair","0.0"
"2025-01-21","2:53 PM","69","35","29","NW","7","0","30.19","Partly Cloudy","0.0"
"2025-01-21","3:53 PM","69","33","26","W","9","0","30.16","Fair","0.0"
"2025-01-21","4:53 PM","64","29","27","W","10","0","30.15","Partly Cloudy","0.0"
"2025-01-21","5:53 PM","61","35","38","WSW","12","0","30.15","Partly Cloudy","0.0"
"2025-01-21","6:53 PM","60","38","44","WSW","6","0","30.16","Partly Cloudy","0.0"
"2025-01-21","7:53 PM","59","32","36","CALM","0","0","30.16","Partly Cloudy","0.0"
"2025-01-21","8:53 PM","59","27","29","CALM","0","0","30.16","Partly Cloudy","0.0"
"2025-01-21","9:53 PM","60","25","26","NNE","9","0","30.16","Mostly Cloudy","0.0"
"2025-01-21","10:53 PM","59","23","25","VAR","5","0","30.16","Mostly Cloudy","0.0"
"2025-01-21","11:53 PM","57","22","26","VAR","7","0","30.17","Mostly Cloudy","0.0"
"2025-01-22","12:53 AM","58","23","26","NE","5","0","30.16","Mostly Cloudy","0.0"
"2025-01-22","1:53 AM","56","21","26","NE","7","0","30.14","Mostly Cloudy","0.0"
"2025-01-22","2:53 AM","56","21","26","CALM","0","0","30.12","Mostly Cloudy","0.0"
"2025-01-22","3:53 AM","53","19","26","NE","7","0","30.11","Mostly Cloudy","0.0"
"2025-01-22","4:53 AM","52","18","26","NE","3","0","30.09","Mostly Cloudy","0.0"
"2025-01-22","5:53 AM","54","20","26","NNE","3","0","30.08","Mostly Cloudy","0.0"
"2025-01-22","6:53 AM","57","23","27","VAR","6","0","30.08","Mostly Cloudy","0.0"
"2025-01-22","7:53 AM","54","20","26","CALM","0","0","30.09","Mostly Cloudy","0.0"
"2025-01-22","8:53 AM","53","19","26","CALM","0","0","30.09","Mostly Cloudy","0.0"
"2025-01-22","9:53 AM","63","28","27","CALM","0","0","30.09","Mostly Cloudy","0.0"
"2025-01-22","10:53 AM","69","35","29","NNW","6","0","30.10","Mostly Cloudy","0.0"
"2025-01-22","11:53 AM","69","35","29","VAR","6","0","30.10","Mostly Cloudy","0.0"
"2025-01-22","12:26 PM","70","35","28","W","7","0","30.09","Mostly Cloudy","0.0"
"2025-01-22","12:53 PM","70","35","28","W","7","0","30.07","Mostly Cloudy","0.0"
"2025-01-22","1:53 PM","71","36","28","W","6","0","30.04","Mostly Cloudy","0.0"
"2025-01-22","2:53 PM","72","37","28","W","6","0","30.02","Mostly Cloudy","0.0"
